,laser_measurement,frame_number,time_index,conveyor_index
0,0.483574,1,2022-06-25 11:07:49,106400
1,0.484515,8,2022-06-25 11:07:56,106560
2,0.485457,15,2022-06-25 11:08:03,106720
3,0.485457,22,2022-06-25 11:08:10,106880
4,0.486394,29,2022-06-25 11:08:17,107040
5,0.487329,36,2022-06-25 11:08:24,107200
6,,43,2022-06-25 11:08:31,107360
7,0.489288,50,2022-06-25 11:08:38,107520
8,0.496264,57,2022-06-25 11:08:45,107680
9,0.491255,64,2022-06-25 11:08:52,107840
10,0.492239,71,2022-06-25 11:08:59,108000
11,0.493247,78,2022-06-25 11:09:06,108160
12,0.4943,85,2022-06-25 11:09:13,108320
13,0.495385,92,2022-06-25 11:09:20,108480
14,0.496492,99,2022-06-25 11:09:27,108640
15,0.497558,106,2022-06-25 11:09:34,108800
16,0.498613,113,2022-06-25 11:09:41,108960
17,,120,2022-06-25 11:09:48,109120
18,0.506619,127,2022-06-25 11:09:55,109280
19,,134,2022-06-25 11:10:02,109440
20,0.502566,141,2022-06-25 11:10:09,109600
21,0.503561,148,2022-06-25 11:10:16,109760
22,0.50452,155,2022-06-25 11:10:23,109920
23,0.505452,162,2022-06-25 11:10:30,110080
24,0.506441,169,2022-06-25 11:10:37,110240
25,0.507425,176,2022-06-25 11:10:44,110400
26,0.508322,183,2022-06-25 11:10:51,110560
27,0.509173,190,2022-06-25 11:10:58,110720
28,0.509173,197,2022-06-25 11:11:05,110880
29,0.5160074,204,2022-06-25 11:11:12,111040
30,0.511007,211,2022-06-25 11:11:19,111200
31,0.51106067,218,2022-06-25 11:11:26,111360
32,0.5126012,225,2022-06-25 11:11:33,111520
33,0.512012,232,2022-06-25 11:11:40,111680
34,0.512992,239,2022-06-25 11:11:47,111840
35,0.514825,246,2022-06-25 11:11:54,112000
36,0.5148625,253,2022-06-25 11:12:01,112160
37,0.5150697,260,2022-06-25 11:12:08,112320
38,0.5150697,267,2022-06-25 11:12:15,112480
39,0.516333,274,2022-06-25 11:12:22,112640
40,0.517593,281,2022-06-25 11:12:29,112800
41,0.518798,288,2022-06-25 11:12:36,112960
42,0.518798,295,2022-06-25 11:12:43,113120
43,0.526113,302,2022-06-25 11:12:50,113280
44,0.521461,309,2022-06-25 11:12:57,113440
45,0.521461,316,2022-06-25 11:13:04,113600
46,0.522799,323,2022-06-25 11:13:11,113760
47,0.524116,330,2022-06-25 11:13:18,113920
48,0.525363,337,2022-06-25 11:13:25,114080
49,0.526672,344,2022-06-25 11:13:32,114240
50,0.526672,351,2022-06-25 11:13:39,114400
51,0.527851,358,2022-06-25 11:13:46,114560
52,0.528931,365,2022-06-25 11:13:53,114720
53,,372,2022-06-25 11:14:00,114880
54,0.5306139,379,2022-06-25 11:14:07,115040
55,0.531336,386,2022-06-25 11:14:14,115200
56,0.532572,393,2022-06-25 11:14:21,115360
57,0.533762,400,2022-06-25 11:14:28,115520
58,0.533762,407,2022-06-25 11:14:35,115680
59,0.534822,414,2022-06-25 11:14:42,115840
60,0.535971,421,2022-06-25 11:14:49,116000
61,0.535971,428,2022-06-25 11:14:56,116160
62,0.537143,435,2022-06-25 11:15:03,116320
63,,442,2022-06-25 11:15:10,116480
64,,449,2022-06-25 11:15:17,116640
65,0.539523,456,2022-06-25 11:15:24,116800
66,0.546661,463,2022-06-25 11:15:31,116960
67,0.546661,470,2022-06-25 11:15:38,117120
68,0.541876,477,2022-06-25 11:15:45,117280
69,0.541876,484,2022-06-25 11:15:52,117440
70,0.543002,491,2022-06-25 11:15:59,117600
71,0.544138,498,2022-06-25 11:16:06,117760
72,0.544138,505,2022-06-25 11:16:13,117920
73,0.545403,512,2022-06-25 11:16:20,118080
74,0.546653,519,2022-06-25 11:16:27,118240
75,0.546653,526,2022-06-25 11:16:34,118400
76,0.547916,533,2022-06-25 11:16:41,118560
77,0.549185,540,2022-06-25 11:16:48,118720
78,0.549185,547,2022-06-25 11:16:55,118880
79,,554,2022-06-25 11:17:02,119040
80,0.551936,561,2022-06-25 11:17:09,119200
81,0.553259,568,2022-06-25 11:17:16,119360
82,0.553259,575,2022-06-25 11:17:23,119520
83,0.554561,582,2022-06-25 11:17:30,119680
84,0.555772,589,2022-06-25 11:17:37,119840
85,0.556927,596,2022-06-25 11:17:44,120000
86,0.556927,603,2022-06-25 11:17:51,120160
87,0.558035,610,2022-06-25 11:17:58,120320
88,0.559152,617,2022-06-25 11:18:05,120480
89,0.566279,624,2022-06-25 11:18:12,120640
90,0.566279,631,2022-06-25 11:18:19,120800
91,0.56143,638,2022-06-25 11:18:26,120960
92,0.562567,645,2022-06-25 11:18:33,121120
93,0.563693,652,2022-06-25 11:18:40,121280
94,0.563693,659,2022-06-25 11:18:47,121440
95,0.564806,666,2022-06-25 11:18:54,121600
96,,673,2022-06-25 11:19:01,121760
97,0.566974,680,2022-06-25 11:19:08,121920
98,0.566974,687,2022-06-25 11:19:15,122080
99,,694,2022-06-25 11:19:22,122240
100,,701,2022-06-25 11:19:29,122400
101,,708,2022-06-25 11:19:36,122560
102,0.576114,715,2022-06-25 11:19:43,122720
103,0.571217,722,2022-06-25 11:19:50,122880
104,0.571217,729,2022-06-25 11:19:57,123040
105,0.572429,736,2022-06-25 11:20:04,123200
106,0.572429,743,2022-06-25 11:20:11,123360
107,0.573634,750,2022-06-25 11:20:18,123520
108,0.574823,757,2022-06-25 11:20:25,123680
109,0.574823,764,2022-06-25 11:20:32,123840
110,0.576087,771,2022-06-25 11:20:39,124000
111,0.577264,778,2022-06-25 11:20:46,124160
112,0.577264,785,2022-06-25 11:20:53,124320
113,0.578445,792,2022-06-25 11:21:00,124480
114,0.579718,799,2022-06-25 11:21:07,124640
115,,806,2022-06-25 11:21:14,124800
116,0.586997,813,2022-06-25 11:21:21,124960
117,0.582215,820,2022-06-25 11:21:28,125120
118,,827,2022-06-25 11:21:35,125280
119,0.584523,834,2022-06-25 11:21:42,125440
120,0.584523,841,2022-06-25 11:21:49,125600
121,0.585634,848,2022-06-25 11:21:56,125760
122,0.586731,855,2022-06-25 11:22:03,125920
123,0.587778,862,2022-06-25 11:22:10,126080
124,0.588923,869,2022-06-25 11:22:17,126240
125,0.588923,876,2022-06-25 11:22:24,126400
126,0.596162,883,2022-06-25 11:22:31,126560
127,0.591355,890,2022-06-25 11:22:38,126720
128,0.59247,897,2022-06-25 11:22:45,126880
129,0.59247,904,2022-06-25 11:22:52,127040
130,0.593674,911,2022-06-25 11:22:59,127200
131,0.594979,918,2022-06-25 11:23:06,127360
